Week,Coronavirus,Music,Weather,Sports,Vaccine
6/2/19,<1,4,19,2,<1
6/9/19,<1,3,20,2,<1
6/16/19,<1,3,22,2,<1
6/23/19,<1,3,18,2,<1
6/30/19,<1,3,19,2,<1
7/7/19,<1,3,17,2,<1
7/14/19,<1,3,18,2,<1
7/21/19,<1,3,16,2,<1
7/28/19,<1,3,15,2,<1
8/4/19,<1,3,15,2,<1
8/11/19,<1,3,15,2,<1
8/18/19,<1,4,16,2,<1
8/25/19,<1,4,16,2,<1
9/1/19,<1,4,16,2,<1
9/8/19,<1,4,14,2,<1
9/15/19,<1,4,14,2,<1
9/22/19,<1,4,15,2,<1
9/29/19,<1,4,16,3,<1
10/6/19,<1,4,22,3,<1
10/13/19,<1,4,20,3,<1
10/20/19,<1,4,21,3,<1
10/27/19,<1,4,23,3,<1
11/3/19,<1,4,18,3,<1
11/10/19,<1,4,23,3,<1
11/17/19,<1,4,19,3,<1
11/24/19,<1,4,25,3,<1
12/1/19,<1,4,22,3,<1
12/8/19,<1,4,21,3,<1
12/15/19,<1,4,21,3,<1
12/22/19,<1,4,20,3,<1
12/29/19,<1,3,19,3,<1
1/5/20,<1,3,23,3,<1
1/12/20,<1,4,26,3,<1
1/19/20,4,4,21,3,<1
1/26/20,13,4,17,3,<1
2/2/20,8,3,23,3,<1
2/9/20,6,4,22,2,<1
2/16/20,5,4,19,2,<1
2/23/20,17,4,19,3,1
3/1/20,32,4,19,2,1
3/8/20,76,3,20,2,1
3/15/20,100,3,17,2,1
3/22/20,80,3,15,2,1
3/29/20,63,4,15,2,1
4/5/20,61,4,18,2,1
4/12/20,45,4,17,2,1
4/19/20,37,4,18,2,1
4/26/20,23,4,16,2,1
5/3/20,20,4,17,2,1
5/10/20,18,3,19,2,1
5/17/20,15,3,20,2,1
5/24/20,12,3,22,2,1
5/31/20,10,3,19,2,1
6/7/20,10,3,18,2,1
6/14/20,11,3,17,2,1
6/21/20,14,3,20,2,1
6/28/20,15,3,17,2,1
7/5/20,14,3,19,2,1
7/12/20,13,3,15,2,1
7/19/20,11,3,18,2,1
7/26/20,9,3,19,2,1
8/2/20,11,3,18,2,1
8/9/20,7,3,17,2,1
8/16/20,6,3,17,2,1
8/23/20,5,3,19,2,1
8/30/20,5,3,16,2,1
9/6/20,5,3,19,2,1
9/13/20,5,4,15,3,1
9/20/20,4,4,15,3,1
9/27/20,5,3,16,3,1
10/4/20,5,3,15,3,1
10/11/20,4,3,17,2,1
10/18/20,5,3,18,3,1
10/25/20,5,3,20,2,1
11/1/20,4,3,14,2,1
11/8/20,6,3,19,2,2
11/15/20,7,3,16,2,2
11/22/20,5,3,16,3,1
11/29/20,5,4,17,2,2
12/6/20,5,3,16,2,4
12/13/20,5,3,21,2,5
12/20/20,5,4,19,2,4
12/27/20,5,3,21,2,4
1/3/21,4,3,16,2,6
1/10/21,4,3,16,2,9
1/17/21,4,3,16,2,9
1/24/21,3,3,23,2,9
1/31/21,3,3,24,2,9
2/7/21,3,3,27,2,9
2/14/21,3,3,34,2,8
2/21/21,3,3,18,2,9
2/28/21,3,3,17,2,12
3/7/21,3,3,19,2,14
3/14/21,2,3,20,2,13
3/21/21,2,3,21,2,13
3/28/21,2,3,19,2,14
4/4/21,4,3,18,2,13
4/11/21,2,3,19,2,11
4/18/21,2,3,21,2,7
4/25/21,2,3,21,2,8
5/2/21,2,3,21,2,6
5/9/21,2,3,19,2,7
5/16/21,2,3,20,2,6
5/23/21,2,3,22,2,5
5/30/21,1,3,21,2,4
6/6/21,1,3,22,3,4
